trade_type,lcy_bought,lcy,rate,date,leverage,comment
Buy,71549,BRL,2.384999990463257,2014-01-03 00:00:00,4,NA
Sell,71549,BRL,2.371500015258789,2014-01-06 00:00:00,4,Model predicted sell
Buy,70572,BRL,2.352400064468384,2014-01-14 00:00:00,4,NA
Sell,70572,BRL,2.3494999408721924,2014-01-15 00:00:00,4,Model predicted sell
Buy,72906,BRL,2.4302000999450684,2014-01-30 00:00:00,4,NA
Sell,72906,BRL,2.4068000316619873,2014-01-31 00:00:00,4,Model predicted sell
Buy,72120,BRL,2.4040000438690186,2014-02-11 00:00:00,4,NA
Sell,72120,BRL,2.4014999866485596,2014-02-12 00:00:00,4,Model predicted sell
Buy,70446,BRL,2.3482000827789307,2014-02-27 00:00:00,4,NA
Sell,70446,BRL,2.3136000633239746,2014-02-28 00:00:00,4,Model predicted sell
Buy,67472,BRL,2.2490999698638916,2014-04-01 00:00:00,4,NA
Sell,67472,BRL,2.2583000659942627,2014-04-02 00:00:00,4,Model predicted sell
Buy,66417,BRL,2.213900089263916,2014-04-14 00:00:00,4,NA
Sell,66417,BRL,2.2009999752044678,2014-04-15 00:00:00,4,Model predicted sell
Buy,67109,BRL,2.236999988555908,2014-04-23 00:00:00,4,NA
Sell,67109,BRL,2.2067999839782715,2014-04-25 00:00:00,4,Model predicted sell
Buy,66354,BRL,2.2118000984191895,2014-05-02 00:00:00,4,NA
Sell,66354,BRL,2.2149999141693115,2014-05-05 00:00:00,4,Model predicted sell
Buy,67200,BRL,2.240000009536743,2014-05-06 00:00:00,4,NA
Sell,67200,BRL,2.2074999809265137,2014-05-12 00:00:00,4,Model predicted sell
Buy,65937,BRL,2.1979000568389893,2014-05-14 00:00:00,4,NA
Sell,65937,BRL,2.197499990463257,2014-05-15 00:00:00,4,Model predicted sell
Buy,67044,BRL,2.234800100326538,2014-05-28 00:00:00,4,NA
Sell,67044,BRL,2.221299886703491,2014-05-30 00:00:00,4,Model predicted sell
Buy,68301,BRL,2.276700019836426,2014-06-04 00:00:00,4,NA
Sell,68301,BRL,2.2195000648498535,2014-06-11 00:00:00,4,Model predicted sell
Buy,66893,BRL,2.22979998588562,2014-06-12 00:00:00,4,NA
Sell,66893,BRL,2.219599962234497,2014-06-16 00:00:00,4,Model predicted sell
Buy,67703,BRL,2.2567999362945557,2014-06-18 00:00:00,4,NA
Sell,67703,BRL,2.206899881362915,2014-06-20 00:00:00,4,Model predicted sell
Buy,66807,BRL,2.226900100708008,2014-06-23 00:00:00,4,NA
Sell,66807,BRL,2.214900016784668,2014-06-24 00:00:00,4,Model predicted sell
Buy,66063,BRL,2.2021000385284424,2014-06-25 00:00:00,4,NA
Sell,66063,BRL,2.17330002784729,2014-06-30 00:00:00,4,Model predicted sell
Buy,66608,BRL,2.2202999591827393,2014-07-03 00:00:00,4,NA
Sell,66608,BRL,2.2047998905181885,2014-07-04 00:00:00,4,Model predicted sell
Buy,67661,BRL,2.2553999423980713,2014-07-18 00:00:00,4,NA
Sell,67661,BRL,2.210200071334839,2014-07-23 00:00:00,4,Model predicted sell
Buy,66480,BRL,2.2160000801086426,2014-07-24 00:00:00,4,NA
Sell,66480,BRL,2.2021000385284424,2014-07-25 00:00:00,4,Model predicted sell
Buy,67757,BRL,2.2585999965667725,2014-08-01 00:00:00,4,NA
Sell,67757,BRL,2.2358999252319336,2014-08-04 00:00:00,4,Model predicted sell
Buy,68760,BRL,2.2920000553131104,2014-08-08 00:00:00,4,NA
Sell,68760,BRL,2.2704999446868896,2014-08-12 00:00:00,4,Model predicted sell
Buy,67640,BRL,2.254699945449829,2014-08-19 00:00:00,4,NA
Sell,67640,BRL,2.2416999340057373,2014-08-20 00:00:00,4,Model predicted sell
Buy,68429,BRL,2.2809998989105225,2014-08-26 00:00:00,4,NA
Sell,68429,BRL,2.231600046157837,2014-09-01 00:00:00,4,Model predicted sell
Buy,67235,BRL,2.2411999702453613,2014-09-02 00:00:00,4,NA
Sell,67235,BRL,2.2320001125335693,2014-09-04 00:00:00,4,Model predicted sell
Buy,68787,BRL,2.2929000854492188,2014-09-12 00:00:00,4,NA
Sell,68787,BRL,2.3348000049591064,2014-09-15 00:00:00,4,Margin call / stop-loss triggered
Buy,70125,BRL,2.3375000953674316,2014-09-16 00:00:00,4,NA
Sell,70125,BRL,2.333699941635132,2014-09-17 00:00:00,4,Model predicted sell
Buy,72231,BRL,2.4077000617980957,2014-09-24 00:00:00,4,NA
Sell,72231,BRL,2.379699945449829,2014-09-25 00:00:00,4,Model predicted sell
Buy,73250,BRL,2.441699981689453,2014-09-30 00:00:00,4,NA
Sell,73250,BRL,2.4356000423431396,2014-10-01 00:00:00,4,Model predicted sell
Buy,74712,BRL,2.4904000759124756,2014-10-03 00:00:00,4,NA
Sell,74712,BRL,2.3738999366760254,2014-10-09 00:00:00,4,Model predicted sell
Buy,71793,BRL,2.3931000232696533,2014-10-10 00:00:00,4,NA
Sell,71793,BRL,2.4230000972747803,2014-10-13 00:00:00,4,Model predicted sell
Buy,73932,BRL,2.464400053024292,2014-10-17 00:00:00,4,NA
Sell,73932,BRL,2.4307000637054443,2014-10-20 00:00:00,4,Model predicted sell
Buy,74865,BRL,2.495500087738037,2014-10-24 00:00:00,4,NA
Sell,74865,BRL,2.4667999744415283,2014-10-27 00:00:00,4,Model predicted sell
Buy,76992,BRL,2.5664000511169434,2014-11-07 00:00:00,4,NA
Sell,76992,BRL,2.553800106048584,2014-11-10 00:00:00,4,Model predicted sell
Buy,78152,BRL,2.60509991645813,2014-11-18 00:00:00,4,NA
Sell,78152,BRL,2.5687999725341797,2014-11-20 00:00:00,4,Model predicted sell
Buy,77093,BRL,2.5697999000549316,2014-11-21 00:00:00,4,NA
Sell,77093,BRL,2.5141000747680664,2014-11-24 00:00:00,4,Model predicted sell
Buy,76271,BRL,2.5423998832702637,2014-11-25 00:00:00,4,NA
Sell,76271,BRL,2.4979000091552734,2014-11-27 00:00:00,4,Model predicted sell
Buy,77646,BRL,2.588200092315674,2014-12-05 00:00:00,4,NA
Sell,77646,BRL,2.5834999084472656,2014-12-08 00:00:00,4,Model predicted sell
Buy,82059,BRL,2.735300064086914,2014-12-17 00:00:00,4,NA
Sell,82059,BRL,2.63919997215271,2014-12-22 00:00:00,4,Model predicted sell
Buy,80601,BRL,2.6867001056671143,2014-12-26 00:00:00,4,NA
Sell,80601,BRL,2.678299903869629,2014-12-29 00:00:00,4,Model predicted sell
Buy,79574,BRL,2.6524999141693115,2015-01-01 00:00:00,4,NA
Buy,81101,BRL,2.703399896621704,2015-01-06 00:00:00,4,NA
Sell,81101,BRL,2.621000051498413,2015-01-12 00:00:00,4,Model predicted sell
Buy,80106,BRL,2.6702001094818115,2015-01-13 00:00:00,4,NA
Sell,80106,BRL,2.612499952316284,2015-01-15 00:00:00,4,Model predicted sell
Buy,79161,BRL,2.638700008392334,2015-01-16 00:00:00,4,NA
Sell,79161,BRL,2.603100061416626,2015-01-19 00:00:00,4,Model predicted sell
Buy,77403,BRL,2.5801000595092773,2015-01-27 00:00:00,4,NA
Sell,77403,BRL,2.568700075149536,2015-01-28 00:00:00,4,Model predicted sell
Buy,81707,BRL,2.723599910736084,2015-02-03 00:00:00,4,NA
Sell,81707,BRL,2.690999984741211,2015-02-04 00:00:00,4,Model predicted sell
Buy,82749,BRL,2.7583000659942627,2015-02-09 00:00:00,4,NA
Sell,82749,BRL,2.766200065612793,2015-02-10 00:00:00,4,Model predicted sell
Buy,85968,BRL,2.865600109100342,2015-02-12 00:00:00,4,NA
Sell,85968,BRL,2.816999912261963,2015-02-13 00:00:00,4,Model predicted sell
Buy,84765,BRL,2.825500011444092,2015-02-16 00:00:00,4,NA
Sell,84765,BRL,2.8257999420166016,2015-02-18 00:00:00,4,Model predicted sell
Buy,86264,BRL,2.875499963760376,2015-02-24 00:00:00,4,NA
Sell,86264,BRL,2.8547000885009766,2015-02-25 00:00:00,4,Model predicted sell
Buy,87132,BRL,2.904400110244751,2015-02-27 00:00:00,4,NA
Sell,87132,BRL,2.8368000984191895,2015-03-02 00:00:00,4,Model predicted sell
Buy,93708,BRL,3.1236000061035156,2015-03-10 00:00:00,4,NA
Sell,93708,BRL,3.1015000343322754,2015-03-11 00:00:00,4,Model predicted sell
Buy,97328,BRL,3.24429988861084,2015-03-16 00:00:00,4,NA
Sell,97328,BRL,3.2425999641418457,2015-03-17 00:00:00,4,Model predicted sell
Buy,98726,BRL,3.2908999919891357,2015-03-20 00:00:00,4,NA
Sell,98726,BRL,3.1285998821258545,2015-03-24 00:00:00,4,Model predicted sell
Buy,95927,BRL,3.1975998878479004,2015-03-26 00:00:00,4,NA
Sell,95927,BRL,3.178999900817871,2015-03-27 00:00:00,4,Model predicted sell
Buy,97617,BRL,3.2539000511169434,2015-03-30 00:00:00,4,NA
Sell,97617,BRL,3.0894999504089355,2015-04-06 00:00:00,4,Model predicted sell
Buy,93752,BRL,3.1250998973846436,2015-04-08 00:00:00,4,NA
Sell,93752,BRL,3.0453999042510986,2015-04-09 00:00:00,4,Model predicted sell
Buy,91115,BRL,3.0371999740600586,2015-04-20 00:00:00,4,NA
Sell,91115,BRL,2.912600040435791,2015-04-28 00:00:00,4,Model predicted sell
Buy,92342,BRL,3.0780999660491943,2015-05-05 00:00:00,4,NA
Sell,92342,BRL,2.9735000133514404,2015-05-11 00:00:00,4,Model predicted sell
Buy,91088,BRL,3.03629994392395,2015-05-14 00:00:00,4,NA
Sell,91088,BRL,2.9900999069213867,2015-05-15 00:00:00,4,Model predicted sell
Buy,94433,BRL,3.1477999687194824,2015-05-27 00:00:00,4,NA
Sell,94433,BRL,3.138200044631958,2015-05-28 00:00:00,4,Model predicted sell
Buy,95562,BRL,3.1854000091552734,2015-06-01 00:00:00,4,NA
Sell,95562,BRL,3.128000020980835,2015-06-03 00:00:00,4,Model predicted sell
Buy,94196,BRL,3.139899969100952,2015-06-05 00:00:00,4,NA
Sell,94196,BRL,3.0936999320983887,2015-06-10 00:00:00,4,Model predicted sell
Buy,92705,BRL,3.0901999473571777,2015-06-22 00:00:00,4,NA
Sell,92705,BRL,3.0739998817443848,2015-06-24 00:00:00,4,Model predicted sell
Buy,95037,BRL,3.1679000854492188,2015-06-29 00:00:00,4,NA
Sell,95037,BRL,3.1096999645233154,2015-07-01 00:00:00,4,Model predicted sell
Buy,94370,BRL,3.145699977874756,2015-07-02 00:00:00,4,NA
Sell,94370,BRL,3.0954999923706055,2015-07-03 00:00:00,4,Model predicted sell
Buy,96990,BRL,3.2330000400543213,2015-07-09 00:00:00,4,NA
Sell,96990,BRL,3.1315999031066895,2015-07-14 00:00:00,4,Model predicted sell
Buy,94106,BRL,3.136899948120117,2015-07-15 00:00:00,4,NA
Sell,94106,BRL,3.134999990463257,2015-07-16 00:00:00,4,Model predicted sell
Buy,95732,BRL,3.1910998821258545,2015-07-21 00:00:00,4,NA
Sell,95732,BRL,3.1510000228881836,2015-07-22 00:00:00,4,Model predicted sell
Buy,100853,BRL,3.361799955368042,2015-07-28 00:00:00,4,NA
Sell,100853,BRL,3.3238000869750977,2015-07-30 00:00:00,4,Model predicted sell
Buy,105929,BRL,3.5309998989105225,2015-08-07 00:00:00,4,NA
Sell,105929,BRL,3.436000108718872,2015-08-11 00:00:00,4,Model predicted sell
Buy,104651,BRL,3.4883999824523926,2015-08-20 00:00:00,4,NA
Sell,104651,BRL,3.458400011062622,2015-08-21 00:00:00,4,Model predicted sell
Buy,108387,BRL,3.6129000186920166,2015-08-26 00:00:00,4,NA
Sell,108387,BRL,3.5510001182556152,2015-08-28 00:00:00,4,Model predicted sell
Buy,112598,BRL,3.7532999515533447,2015-09-03 00:00:00,4,NA
Sell,112598,BRL,3.736299991607666,2015-09-04 00:00:00,4,Model predicted sell
Buy,115184,BRL,3.8394999504089355,2015-09-07 00:00:00,4,NA
Sell,115184,BRL,3.7783000469207764,2015-09-10 00:00:00,4,Model predicted sell
Buy,125213,BRL,4.173799991607666,2015-09-24 00:00:00,4,NA
Sell,125213,BRL,3.933500051498413,2015-09-25 00:00:00,4,Model predicted sell
Buy,123113,BRL,4.103799819946289,2015-09-29 00:00:00,4,NA
Sell,123113,BRL,3.945499897003174,2015-10-01 00:00:00,4,Model predicted sell
Buy,119979,BRL,3.999300003051758,2015-10-02 00:00:00,4,NA
Sell,119979,BRL,3.850399971008301,2015-10-07 00:00:00,4,Model predicted sell
Buy,116382,BRL,3.8794000148773193,2015-10-08 00:00:00,4,NA
Sell,116382,BRL,3.7614998817443848,2015-10-12 00:00:00,4,Model predicted sell
Buy,118074,BRL,3.935800075531006,2015-10-22 00:00:00,4,NA
Sell,118074,BRL,3.871299982070923,2015-10-26 00:00:00,4,Model predicted sell
Buy,116889,BRL,3.8963000774383545,2015-10-29 00:00:00,4,NA
Sell,116889,BRL,3.844099998474121,2015-10-30 00:00:00,4,Model predicted sell
Buy,113804,BRL,3.7934999465942383,2015-11-05 00:00:00,4,NA
Sell,113804,BRL,3.7764999866485596,2015-11-09 00:00:00,4,Model predicted sell
Buy,115866,BRL,3.8622000217437744,2015-11-16 00:00:00,4,NA
Sell,115866,BRL,3.700200080871582,2015-11-23 00:00:00,4,Model predicted sell
Buy,111860,BRL,3.7286999225616455,2015-11-24 00:00:00,4,NA
Sell,111860,BRL,3.6956000328063965,2015-11-25 00:00:00,4,Model predicted sell
Buy,116013,BRL,3.8671000003814697,2015-12-01 00:00:00,4,NA
Sell,116013,BRL,3.755000114440918,2015-12-07 00:00:00,4,Model predicted sell
Buy,114456,BRL,3.815200090408325,2015-12-09 00:00:00,4,NA
Sell,114456,BRL,3.7435998916625977,2015-12-10 00:00:00,4,Model predicted sell
Buy,117195,BRL,3.9065001010894775,2015-12-16 00:00:00,4,NA
Sell,117195,BRL,3.875699996948242,2015-12-18 00:00:00,4,Model predicted sell
Buy,120353,BRL,4.0117998123168945,2015-12-22 00:00:00,4,NA
Sell,120353,BRL,3.8554000854492188,2015-12-29 00:00:00,4,Model predicted sell
Buy,118697,BRL,3.9565999507904053,2015-12-31 00:00:00,4,NA
Buy,121112,BRL,4.037099838256836,2016-01-05 00:00:00,4,NA
Sell,121112,BRL,4.020899772644043,2016-01-07 00:00:00,4,Model predicted sell
Buy,124614,BRL,4.153800010681152,2016-01-22 00:00:00,4,NA
Sell,124614,BRL,4.068399906158447,2016-01-27 00:00:00,4,Model predicted sell
Buy,123176,BRL,4.105899810791016,2016-01-28 00:00:00,4,NA
Sell,123176,BRL,3.9586000442504883,2016-02-02 00:00:00,4,Model predicted sell
Buy,119561,BRL,3.9853999614715576,2016-02-03 00:00:00,4,NA
Sell,119561,BRL,3.8864998817443848,2016-02-05 00:00:00,4,Model predicted sell
Buy,116835,BRL,3.8945000171661377,2016-02-08 00:00:00,4,NA
Sell,116835,BRL,3.882499933242798,2016-02-10 00:00:00,4,Model predicted sell
Buy,119643,BRL,3.988100051879883,2016-02-12 00:00:00,4,NA
Sell,119643,BRL,4.008399963378906,2016-02-15 00:00:00,4,Model predicted sell
Buy,121934,BRL,4.064499855041504,2016-02-17 00:00:00,4,NA
Sell,121934,BRL,3.980600118637085,2016-02-18 00:00:00,4,Model predicted sell
Buy,118653,BRL,3.9551000595092773,2016-02-25 00:00:00,4,NA
Sell,118653,BRL,3.9523000717163086,2016-02-26 00:00:00,4,Model predicted sell
Buy,120372,BRL,4.012400150299072,2016-03-01 00:00:00,4,NA
Sell,120372,BRL,3.754300117492676,2016-03-07 00:00:00,4,Model predicted sell
Buy,113456,BRL,3.781899929046631,2016-03-08 00:00:00,4,NA
Sell,113456,BRL,3.5785999298095703,2016-03-14 00:00:00,4,Model predicted sell
Buy,108596,BRL,3.6198999881744385,2016-03-21 00:00:00,4,NA
Sell,108596,BRL,3.578399896621704,2016-03-23 00:00:00,4,Model predicted sell
Buy,110408,BRL,3.680299997329712,2016-03-24 00:00:00,4,NA
Sell,110408,BRL,3.6772000789642334,2016-03-25 00:00:00,4,Model predicted sell
Buy,104786,BRL,3.4928998947143555,2016-04-14 00:00:00,4,NA
Sell,104786,BRL,3.472100019454956,2016-04-15 00:00:00,4,Model predicted sell
Buy,108248,BRL,3.608299970626831,2016-04-19 00:00:00,4,NA
Sell,108248,BRL,3.5244998931884766,2016-04-21 00:00:00,4,Model predicted sell
Buy,106797,BRL,3.5599000453948975,2016-04-25 00:00:00,4,NA
Sell,106797,BRL,3.521399974822998,2016-04-27 00:00:00,4,Model predicted sell
Buy,105612,BRL,3.520400047302246,2016-04-28 00:00:00,4,NA
